18-Sep-2019 (20:04:04.428558)  counterInt: 113
18-Sep-2019 (20:04:04.963225)  counterInt: 114
18-Sep-2019 (20:04:05.510897)  counterInt: 115
18-Sep-2019 (20:04:06.089565)  counterInt: 116
18-Sep-2019 (20:04:06.640244)  counterInt: 117
18-Sep-2019 (20:04:07.184455)  counterInt: 118
18-Sep-2019 (20:04:07.734123)  counterInt: 119
18-Sep-2019 (20:04:08.280086)  counterInt: 120
18-Sep-2019 (20:04:08.853742)  counterInt: 121
18-Sep-2019 (20:04:09.399419)  counterInt: 122
18-Sep-2019 (20:04:09.944094)  counterInt: 123
18-Sep-2019 (20:04:10.483060)  counterInt: 124
18-Sep-2019 (20:04:10.978526)  counterInt: 125
18-Sep-2019 (20:04:11.535782)  counterInt: 126
18-Sep-2019 (20:04:12.071447)  counterInt: 127
18-Sep-2019 (20:04:12.639103)  counterInt: 128
18-Sep-2019 (20:04:13.198782)  counterInt: 129
18-Sep-2019 (20:04:13.736457)  counterInt: 130
18-Sep-2019 (20:04:14.289297)  counterInt: 131
18-Sep-2019 (20:04:14.780503)  counterInt: 132
18-Sep-2019 (20:04:15.371169)  counterInt: 133
18-Sep-2019 (20:04:15.911373)  counterInt: 134
18-Sep-2019 (20:04:16.452062)  counterInt: 135
18-Sep-2019 (20:04:16.987250)  counterInt: 136
18-Sep-2019 (20:04:17.561421)  counterInt: 137
18-Sep-2019 (20:04:18.126599)  counterInt: 138
18-Sep-2019 (20:04:18.667298)  counterInt: 139
18-Sep-2019 (20:04:19.204145)  counterInt: 140
18-Sep-2019 (20:04:19.773817)  counterInt: 141
18-Sep-2019 (20:04:20.315487)  counterInt: 142
18-Sep-2019 (20:04:20.898649)  counterInt: 143
18-Sep-2019 (20:04:21.450826)  counterInt: 144
18-Sep-2019 (20:04:22.011509)  counterInt: 145
18-Sep-2019 (20:04:22.500738)  counterInt: 146
18-Sep-2019 (20:04:23.039427)  counterInt: 147
18-Sep-2019 (20:04:23.587616)  counterInt: 148
18-Sep-2019 (20:04:24.147800)  counterInt: 149
18-Sep-2019 (20:04:24.691478)  counterInt: 150
18-Sep-2019 (20:04:25.237667)  counterInt: 151
18-Sep-2019 (20:04:25.778348)  counterInt: 152
18-Sep-2019 (20:04:26.326007)  counterInt: 153
18-Sep-2019 (20:04:26.863672)  counterInt: 154
18-Sep-2019 (20:04:27.405337)  counterInt: 155
18-Sep-2019 (20:04:27.940004)  counterInt: 156
18-Sep-2019 (20:04:28.475671)  counterInt: 157
18-Sep-2019 (20:04:29.015336)  counterInt: 158
18-Sep-2019 (20:04:29.551003)  counterInt: 159
18-Sep-2019 (20:04:30.030706)  counterInt: 160
18-Sep-2019 (20:04:30.568374)  counterInt: 161
18-Sep-2019 (20:04:31.096048)  counterInt: 162
18-Sep-2019 (20:04:31.638709)  counterInt: 163
18-Sep-2019 (20:04:32.171377)  counterInt: 164
18-Sep-2019 (20:04:32.714043)  counterInt: 165
18-Sep-2019 (20:04:33.201739)  counterInt: 166
18-Sep-2019 (20:04:33.746399)  counterInt: 167
18-Sep-2019 (20:04:34.305052)  counterInt: 168
18-Sep-2019 (20:04:34.844720)  counterInt: 169
18-Sep-2019 (20:04:35.387382)  counterInt: 170
18-Sep-2019 (20:04:35.870084)  counterInt: 171
18-Sep-2019 (20:04:36.403749)  counterInt: 172
18-Sep-2019 (20:04:36.953408)  counterInt: 173
18-Sep-2019 (20:04:37.486077)  counterInt: 174
18-Sep-2019 (20:04:38.036736)  counterInt: 175
18-Sep-2019 (20:04:38.569408)  counterInt: 176
18-Sep-2019 (20:04:39.103077)  counterInt: 177
18-Sep-2019 (20:04:39.633746)  counterInt: 178
18-Sep-2019 (20:04:40.171410)  counterInt: 179
18-Sep-2019 (20:04:40.704080)  counterInt: 180
18-Sep-2019 (20:04:41.235752)  counterInt: 181
18-Sep-2019 (20:04:41.765422)  counterInt: 182
18-Sep-2019 (20:04:42.309086)  counterInt: 183
18-Sep-2019 (20:04:42.867738)  counterInt: 184
18-Sep-2019 (20:04:43.361431)  counterInt: 185
18-Sep-2019 (20:04:43.914089)  counterInt: 186
18-Sep-2019 (20:04:44.480737)  counterInt: 187
18-Sep-2019 (20:04:45.044386)  counterInt: 188
18-Sep-2019 (20:04:45.592045)  counterInt: 189
18-Sep-2019 (20:04:46.132711)  counterInt: 190
18-Sep-2019 (20:04:46.672375)  counterInt: 191
18-Sep-2019 (20:04:47.212041)  counterInt: 192
18-Sep-2019 (20:04:47.736716)  counterInt: 193
18-Sep-2019 (20:04:48.271385)  counterInt: 194
18-Sep-2019 (20:04:48.764076)  counterInt: 195
18-Sep-2019 (20:04:49.303742)  counterInt: 196
18-Sep-2019 (20:04:49.845405)  counterInt: 197
18-Sep-2019 (20:04:50.380074)  counterInt: 198
18-Sep-2019 (20:04:50.913744)  counterInt: 199
18-Sep-2019 (20:04:51.451410)  counterInt: 200
18-Sep-2019 (20:04:51.990073)  counterInt: 201
18-Sep-2019 (20:04:52.527740)  counterInt: 202
18-Sep-2019 (20:04:53.067404)  counterInt: 203
18-Sep-2019 (20:04:53.631057)  counterInt: 204
18-Sep-2019 (20:04:54.180712)  counterInt: 205
18-Sep-2019 (20:04:54.713383)  counterInt: 206
18-Sep-2019 (20:04:55.273034)  counterInt: 207
18-Sep-2019 (20:04:55.806703)  counterInt: 208
18-Sep-2019 (20:04:56.347370)  counterInt: 209
18-Sep-2019 (20:04:56.876039)  counterInt: 210
18-Sep-2019 (20:04:57.423701)  counterInt: 211
18-Sep-2019 (20:04:57.960367)  counterInt: 212
18-Sep-2019 (20:04:58.495037)  counterInt: 213
18-Sep-2019 (20:04:59.026704)  counterInt: 214
18-Sep-2019 (20:04:59.574364)  counterInt: 215
18-Sep-2019 (20:05:00.101038)  counterInt: 216
18-Sep-2019 (20:05:00.685678)  counterInt: 217
